"","category_list","funding_total_usd","country_code","invest_duration","deals","ex_sd","ex_sd_5years","ex_mean_5years","IPO_mean_5years","IPO_growth_5years","MA_mean_5years","MA_growth_5years","label"
"3860","Language Learning",1080000,"JPN",187.142857142857,2,38839.0739421941,19352.5579039808,118695.984,12.8166666666667,0.2,21.9166666666667,-0.413793103448276,"0"
"3861","Software",2240733,"FRA",0,2,354.665676198768,69.1122172267682,1060.602,29.3166666666667,0.380952380952381,29.3833333333333,1.4,"0"
"3862","Ad Targeting",166791,"GBR",0,1,332.650930201571,97.3817857712622,866.34,46.0166666666667,0.037037037037037,41.15,-0.025,"0"
"3863","E-Commerce",1910000,"USA",26,2,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"3864","Delivery",405279,"FRA",0,1,354.665676198768,128.062318228275,1097.19,28.25,-0.266666666666667,25.8,0.75,"0"
"3865","Curated Web",25000,"USA",0,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3866","Apps",120959,"GBR",13.1428571428571,2,332.650930201571,97.3817857712622,866.34,46.0166666666667,0.037037037037037,41.15,-0.025,"0"
"3867","Manufacturing",3384000,"USA",0,3,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3868","P2P Money Transfer",1600000,"DEU",0,7,354.665676198768,76.3612793240134,1121.154,29.2833333333333,0.125,53.0666666666667,0.0888888888888889,"0"
"3869","Collaborative Consumption",265199,"GBR",0,1,332.650930201571,97.3817857712622,866.34,46.0166666666667,0.037037037037037,41.15,-0.025,"0"
"3870","E-Commerce",362000,"USA",1.71428571428571,1,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"3871","Analytics",7400000,"ISR",31.1428571428571,3,1338.02627967053,796.503358643264,5063.994,12.5333333333333,-0.5,10.3166666666667,-0.25,"0"
"3872","Console Gaming",8890000,"USA",152.571428571429,5,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"3873","Clean Technology",22750000,"USA",41,1,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"3874","Clean Technology",7200000,"USA",0,2,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"3875","Software",75000,"USA",210.285714285714,1,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"3876","Consumer Electronics",125000,"USA",50.7142857142857,2,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"3877","Messaging",28100000,"USA",189.142857142857,8,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"1"
"3878","Startups",1500000,"USA",0,4,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"3879","Analytics",50000,"PER",0,2,1255.21339682272,352.086867335321,4124.77,22.3833333333333,-0.578947368421053,31.9833333333333,0.482758620689655,"0"
"3880","Enterprise Software",16200000,"USA",132.714285714286,4,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"0"
"3881","Local Businesses",4899605,"USA",68.5714285714286,2,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"1"
"3882","Curated Web",7e+06,"USA",56.1428571428571,3,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3883","Education",2190511,"USA",107.285714285714,8,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3884","Clean Energy",850000,"CAN",0,1,505.85272116889,113.033210164093,1522.52,17.1,0.545454545454545,47.5833333333333,0.65625,"0"
"3885","Enterprise Software",4100000,"USA",43,3,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"1"
"3886","Consumer Electronics",9e+05,"USA",33.4285714285714,3,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3887","EdTech",126980,"SRB",8.71428571428571,2,48492.3156833849,13994.0200171741,128152.418,35.8166666666667,-0.232558139534884,1.78333333333333,-0.583333333333333,"0"
"3888","EdTech",126457,"BGR",0,1,693.199017065828,133.013624753256,2073.322,5.46666666666667,-1,2.58333333333333,-1,"0"
"3889","Social Media",6280622,"USA",320.285714285714,36,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"3890","Health and Wellness",6342950,"DEU",80.2857142857143,3,354.665676198768,69.1122172267682,1060.602,27.1,0.5625,48.7166666666667,-0.0851063829787234,"0"
"3891","Manufacturing",41784600,"USA",218.428571428571,4,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3892","Messaging",1800000,"USA",0,16,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"3893","Software",3307790,"USA",0,1,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"3894","Software",22500000,"USA",55.7142857142857,2,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"3895","Data Mining",4300000,"USA",0,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"3896","Software",2.9e+07,"USA",88.1428571428571,2,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"0"
"3897","Software",13600000,"USA",0,2,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"3898","Clinical Trials",322500,"USA",48.4285714285714,1,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"3899","Linux",2e+07,"USA",109.428571428571,11,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3900","Semiconductors",17800000,"ISR",0,6,1338.02627967053,796.503358643264,5063.994,12.5333333333333,-0.5,10.3166666666667,-0.25,"0"
"3901","Cloud Computing",26200031,"CHE",43.8571428571429,2,323.323369107507,202.825970772976,971.532,20.2333333333333,0.416666666666667,30.15,-0.0888888888888889,"0"
"3902","Security",20404494,"USA",248,3,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"1"
"3903","Clean Technology",5303380,"GBR",0,2,332.650930201571,241.986560019353,783.924,39.2166666666667,-0.516666666666667,34.7,-0.64,"0"
"3904","Software",5000,"USA",0,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3905","Android",3e+06,"USA",154.142857142857,4,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"1"
"3906","Biotechnology",62758534,"USA",100.142857142857,1,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"1"
"3907","Social Media",1e+05,"USA",0,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"3908","Enterprise Software",3e+05,"USA",0,1,408.171554463965,83.0290823747921,1265.688,17.2333333333333,-0.409090909090909,61.6333333333333,0.0208333333333333,"0"
"3909","Energy",9415005.40471479,"SWE",19.8571428571429,1,3592.94496040463,1467.34952926356,9375.906,12.6,0.111111111111111,19.1666666666667,-0.571428571428571,"0"
"3910","Enterprise Software",11400000,"USA",364.428571428571,12,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"1"
"3911","Software",2.1e+07,"USA",323.857142857143,20,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"0"
"3912","Biotechnology",27620904,"USA",223,16,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"3913","Hardware + Software",20700000,"CAN",87.5714285714286,4,505.85272116889,104.649017577806,1510.416,18.9333333333333,-0.444444444444444,41.3,0.195652173913043,"0"
"3914","Software",530338,"USA",0,1,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"3915","Social Media",107363,"ITA",113,2,354.665676198768,128.227526568986,1097.738,22.8833333333333,-0.125,18.55,-0.235294117647059,"0"
"3916","Biotechnology",7122120,"DEU",94.4285714285714,2,354.665676198768,149.855723180665,1073.778,27.9,-0.541666666666667,41.6166666666667,0.314285714285714,"0"
"3917","Brand Marketing",6656887,"GBR",323.857142857143,3,332.650930201571,241.986560019353,783.924,39.2166666666667,-0.516666666666667,34.7,-0.64,"0"
"3918","Advertising",37900000,"USA",375,7,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"3919","Delivery",2473660.18739323,"ITA",142.714285714286,4,354.665676198768,128.227526568986,1097.738,22.8833333333333,-0.125,18.55,-0.235294117647059,"0"
"3920","Health Care",1674801.38667086,"DNK",63.1428571428571,2,2643.03787519948,510.797401843431,7917.474,16.25,0.307692307692308,6.21666666666667,-0.285714285714286,"0"
"3921","Pharmaceuticals",19049982,"USA",32,2,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"3922","Contact Centers",3e+07,"USA",0,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"3923","Clean Technology",86220000,"USA",285.428571428571,26,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"3924","E-Commerce",356139,"KOR",73,2,489702.373787573,247633.720546129,1557673.234,16.1666666666667,-0.5,11,0.666666666666667,"0"
"3925","Application Platforms",5200000,"FRA",0,2,354.665676198768,225.836224352959,1022.584,27.85,0.137931034482759,19.6833333333333,0.444444444444444,"0"
"3926","Development Platforms",40143,"MEX",0,1,8949.80628685969,3464.53223258639,21327.464,21.3666666666667,-0.4,5.3,0.5,"0"
"3927","Collaboration",15500000,"USA",35,4,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3928","Content Delivery",3.6e+07,"USA",180.142857142857,12,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"1"
"3929","Social Media",1500000,"USA",0,2,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"3930","Aerospace",24841531.7288464,"DEU",0,1,354.665676198768,128.062318228275,1097.19,26.75,0.05,45.85,0.205882352941176,"0"
"3931","E-Commerce",9500000,"USA",35,16,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"3932","Advertising",1100000,"USA",0,6,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"1"
"3933","Curated Web",3500000,"RUS",53.7142857142857,3,32694.9996306408,16524.605180101,59832.982,3.95,-0.8,2.61666666666667,0.5,"0"
"3934","Business Services",3100000,"JPN",51.1428571428571,4,38839.0739421941,3137.23912903208,137559.426,23.5666666666667,3.44444444444444,22.35,0.35,"0"
"3935","Analytics",1.16e+08,"USA",286,20,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"3936","Apps",1740690,"DEU",45.7142857142857,5,354.665676198768,128.062318228275,1097.19,26.75,0.05,45.85,0.205882352941176,"0"
"3937","Software",2e+06,"USA",0,1,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"3938","Hospitality",22600000,"USA",52,8,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"3939","Advertising",6e+06,"GBR",123.285714285714,3,332.650930201571,241.986560019353,783.924,39.2166666666667,-0.516666666666667,34.7,-0.64,"0"
"3940","Clean Technology",113993598,"USA",287.142857142857,19,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"3941","Biotechnology",103795000,"USA",216.285714285714,7,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"3942","Cloud Security",67435732,"USA",246.857142857143,22,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"3943","Business Services",16833.1275951072,"IND",0,1,33381.9487012152,3949.55095556065,79770.738,5.85,6,5.71666666666667,-0.6,"0"
"3944","Cloud Infrastructure",1.69e+08,"USA",428.857142857143,28,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"3945","E-Commerce",1.418e+09,"KOR",257.857142857143,15,489702.373787573,225134.652731855,1578288.368,18.5666666666667,-0.8,13.8166666666667,-0.756756756756757,"0"
"3946","Coupons",5e+05,"SGP",0,3,477.426460215571,79.1102267093199,1683.392,15.9833333333333,0,20.8666666666667,-0.333333333333333,"0"
"3947","Advertising",1e+06,"USA",0,1,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"3948","Messaging",4200000,"USA",0,14,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"3949","Social Media",40000,"USA",0,1,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"3950","E-Commerce",1e+05,"ISR",0,1,1338.02627967053,118.262936924465,4575.43,13.2833333333333,-0.133333333333333,9.91666666666667,-0.666666666666667,"0"
"3951","Commercial Real Estate",1369963,"USA",128.142857142857,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3952","Crowdsourcing",17393000,"USA",419,27,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"3953","EdTech",1.2e+07,"USA",0,2,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"3954","Curated Web",1800000,"USA",71.4285714285714,7,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3955","Enterprise Software",1640000,"USA",0,1,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"3956","All Students",60000,"CAN",0,2,505.85272116889,122.296525175493,1529.582,17.9333333333333,-0.36,44.2666666666667,0.6,"0"
"3957","EdTech",146100000,"USA",183.857142857143,19,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"3958","All Students",6e+05,"USA",0,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3959","E-Books",219131,"DEU",0,1,354.665676198768,76.3612793240134,1121.154,29.2833333333333,0.125,53.0666666666667,0.0888888888888889,"0"
"3960","Education",1280000,"USA",31.7142857142857,6,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"3961","Mobile",1359200,"FRA",0,1,354.665676198768,128.227526568986,1097.738,28.8833333333333,0.217391304347826,22.0833333333333,0.6,"0"
"3962","Big Data Analytics",450000,"IND",91.1428571428571,4,33381.9487012152,17673.8506551931,69608.658,7.43333333333333,-0.5,14.5833333333333,-0.8,"0"
"3963","Biotechnology",90505207,"CHE",228.428571428571,17,323.323369107507,230.521802266076,1098.168,19.8166666666667,1.25,28.9,-0.525641025641026,"1"
"3964","Information Services",3500000,"USA",70.2857142857143,2,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3965","Advertising",1.6e+07,"USA",48.7142857142857,4,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"1"
"3966","Analytics",1100000,"USA",26.2857142857143,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3967","Cloud Security",21900000,"USA",54.1428571428571,2,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"3968","Finance",11900000,"USA",28.4285714285714,2,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"3969","Biotechnology",76336992,"USA",250.857142857143,3,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"3970","Advertising",3e+06,"USA",0,2,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3971","Health and Wellness",15400000,"USA",17.7142857142857,7,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3972","Insurance",1.2e+07,"IND",0,2,33381.9487012152,3949.55095556065,79770.738,5.85,6,5.71666666666667,-0.6,"0"
"3973","Cars",56731487,"USA",238,20,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"3974","Blogging Platforms",1e+06,"USA",0,2,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"1"
"3975","Health Care Information Technology",250000,"USA",208.142857142857,2,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"3976","Consumer Electronics",3800000,"USA",48.5714285714286,8,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"3977","Finance",23850000,"USA",314.857142857143,10,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"1"
"3978","Freelancers",20313,"ESP",0,1,354.665676198768,69.1122172267682,1060.602,30.8666666666667,-0.342857142857143,35.6666666666667,-0.179487179487179,"0"
"3979","Crowdsourcing",1950000,"USA",81.4285714285714,2,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"3980","Accounting",3118,"DEU",0,1,354.665676198768,69.3918441173024,1062.824,29.2,-0.0476190476190476,51.4,0.0526315789473684,"0"
"3981","Events",5800000,"USA",0,3,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"1"
"3982","Curated Web",29557587,"USA",369,4,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"0"
"3983","Finance",9868996,"USA",150.142857142857,12,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"3984","Open Source",1100000,"FRA",0,2,354.665676198768,128.062318228275,1097.19,28.25,-0.266666666666667,25.8,0.75,"0"
"3985","Financial Services",5e+05,"RUS",0,1,32694.9996306408,16524.605180101,59832.982,3.95,-0.8,2.61666666666667,0.5,"0"
"3986","Cloud Computing",925000,"USA",0,4,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"3987","Consumer Electronics",1750000,"USA",0,2,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"3988","Hardware + Software",65628255,"USA",298,6,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"3989","Coffee",320000,"USA",149.857142857143,3,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"3990","E-Commerce",54500000,"IND",212.857142857143,12,33381.9487012152,6411.86518753553,79270.754,3.13333333333333,-0.125,7.91666666666667,-0.7,"0"
"3991","Mobile",6e+06,"USA",25.7142857142857,12,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"1"
"3992","Big Data",1500000,"AUT",0,2,354.665676198768,69.1122172267682,1060.602,12.25,0.25,16.4,0,"0"
"3993","E-Commerce",4e+06,"USA",0,2,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"3994","SexTech",2400000,"USA",67,2,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"3995","Marketplaces",1500000,"USA",0,12,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"3996","Analytics",5338400,"SGP",33.1428571428571,3,477.426460215571,198.841396017027,1752.898,15.5666666666667,-0.142857142857143,19.0666666666667,0.8,"0"
"3997","Design",316770.550912597,"ISR",91.1428571428571,3,1338.02627967053,118.262936924465,4575.43,13.2833333333333,-0.133333333333333,9.91666666666667,-0.666666666666667,"0"
"3998","Design",4100000,"FRA",0,1,354.665676198768,292.741033628701,928.532,29.3833333333333,-0.63265306122449,18.6333333333333,0.142857142857143,"0"
"3999","E-Commerce",1e+05,"USA",0,2,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"4000","Big Data",826956,"GBR",0,1,332.650930201571,128.997638272954,892.644,45.9666666666667,-0.184210526315789,36.2,0.5,"0"
"4001","Architecture",2800000,"USA",83.5714285714286,6,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"4002","Travel",2179030,"FIN",35.1428571428571,6,354.665676198768,69.1122172267682,1060.602,23.1666666666667,-0.617647058823529,23.1166666666667,-0.0666666666666667,"0"
"4003","Health Care Information Technology",5e+06,"USA",0,1,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"4004","Art",833197,"USA",1.71428571428571,2,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"4005","Consulting",50000,"USA",0,1,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"4006","Business Intelligence",1500000,"USA",172.571428571429,2,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"4007","Education",29500000,"USA",57.2857142857143,8,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"4008","Creative",2300000,"USA",66.2857142857143,7,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"1"
"4009","Automotive",50000,"PER",35,3,1255.21339682272,265.334345402174,3823.46,25.55,-0.547169811320755,25.9833333333333,-0.303030303030303,"0"
"4010","Finance",14301880,"USA",83.7142857142857,18,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"4011","Financial Services",8e+06,"USA",0,3,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"4012","Software",90000,"USA",63.8571428571429,4,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"4013","Financial Services",2.7e+07,"GBR",52.8571428571429,3,332.650930201571,121.755071845078,881.552,45.7333333333333,-0.222222222222222,38.4666666666667,0.0606060606060606,"0"
"4014","Credit",3.68e+08,"USA",348.857142857143,20,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"4015","Finance",35350000,"USA",262.714285714286,16,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"4016","Finance",2e+07,"CHN",56.4285714285714,3,2423.75249523914,1350.31326840108,6213.992,20.1166666666667,1,3.5,2,"0"
"4017","Financial Services",6500000,"USA",76.8571428571429,5,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"4018","Financial Services",2500000,"IND",0,3,33381.9487012152,5817.33538683906,81240.942,3.25,1,6.46666666666667,-0.625,"0"
"4019","Finance",1e+06,"USA",0,1,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"4020","Credit",580000,"USA",0,6,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"4021","Banking",15931,"IND",0,1,33381.9487012152,4959.96330205981,80662.284,6.95,0,5,-0.5,"0"
"4022","Consumer Lending",39450000,"USA",46.7142857142857,3,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"4023","Semiconductors",8e+06,"CHN",0,1,2423.75249523914,2005.21250422991,8323.812,17.6,-0.666666666666667,3.23333333333333,0.4,"0"
"4024","E-Commerce",8e+07,"USA",162,5,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"4025","Health Care Information Technology",1500000,"USA",87.5714285714286,5,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"4026","3D Printing",1941258,"SGP",74.1428571428571,8,477.426460215571,68.6193145550143,1672.844,14.9666666666667,-0.5625,22.4,1.18181818181818,"0"
"4027","Automotive",3270120,"CHE",0,2,323.323369107507,185.732463156014,1317.598,16.0833333333333,1.4,27.05,1.15,"0"
"4028","Education",2600000,"USA",0,1,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"4029","Biotechnology",514640,"ITA",0,1,354.665676198768,225.836224352959,1022.584,19.2666666666667,1.21428571428571,19.1666666666667,-0.0416666666666667,"0"
"4030","Software",20885000,"USA",404.285714285714,7,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"0"
"4031","Curated Web",12025032.2782581,"CAN",82.1428571428571,19,505.85272116889,122.296525175493,1529.582,17.9333333333333,-0.36,44.2666666666667,0.6,"0"
"4032","Social Media",3700000,"JPN",142.714285714286,4,38839.0739421941,2922.8689823066,135987.134,19.75,2,20.4666666666667,0.380952380952381,"0"
"4033","Real Estate",1147034,"USA",7.71428571428571,3,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"4034","Content",4500000,"USA",24.2857142857143,7,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"4035","Curated Web",16494801,"USA",21,2,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"1"
"4036","Analytics",11158362,"USA",159.285714285714,3,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"4037","Biotechnology",41500000,"USA",39.4285714285714,3,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"4038","Email",750000,"USA",78.1428571428571,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"4039","Android",40000,"IND",0,1,33381.9487012152,3949.55095556065,79770.738,5.85,6,5.71666666666667,-0.6,"0"
"4040","Biotechnology",8.9e+07,"GBR",52.7142857142857,7,332.650930201571,97.3817857712622,866.34,46.0166666666667,0.037037037037037,41.15,-0.025,"0"
"4041","Art",50000,"USA",14.2857142857143,2,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
